mm/dd, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
16-Oct,-27,-106, NA,-36,-310,10,45,7,7
17-Oct,-3,2,-20,5,-279,5,-35,-3,-2
18-Oct,3,-278,-22,-5,-168,13,-77,-11,-12
19-Oct,1,-67,-236,15,-169,23,35,19,1
20-Oct,18,-28,-40,-18,-44,12,-11,-12,-1
21-Oct,2,-242,-72,-4,-195,7,-48,-64,-119
22-Oct,-20,-28,-182,1,-90,-2,-23,-8,-146
23-Oct,-46,-67,-136,0,-37,-7,-78,5,-448
24-Oct,-144,-10,-498,-116,-68,4,-51,7,-284
25-Oct,-116,37,-366,-112,24,10,-68,-12,-138
26-Oct,-11,-6,-200,-9,7,36,-79,-21,5
27-Oct,-200,-25,-58,-145,-292,94,-60,-80,-121
28-Oct,-79,-3,-61,-39,-244,0,-16,-51,-69
29-Oct,-18,-11,-33,-4,-69,-1,-23,-53,-75
30-Oct,-81,-11,-36,-5,-90,-35,-104,27,-109
31-Oct,-2,68,-3,-105,-5,0,-80,48,-286
1-Nov,-53,45,-127,-43,2,-14,-39,-41,-108
2-Nov,46,8,-449,24,-37,159,-139,-110,-80
3-Nov,-90,8,-283,18,-144,25,-44,5,-157
4-Nov,50,-27,-324,-1,3,-49,-92,-8,-38
5-Nov,21,5,-91,-14,-189,-1,10,-59,22
6-Nov,13,-112,-236,-181,-105,-137,14,-1,-93
7-Nov,1,-460,-534,-12,-14,-46,-12,-15,-3
8-Nov,-7,-497,-177,-2,-8,-5,27,-146,-33
9-Nov,15,-93,-44,13,86,-15,11,-230,-177
10-Nov,3,-8,-126,-31,-18,-59,-31,-14,-14
11-Nov,-80,-164,-97,7,-164,-228,-201,96,-74
12-Nov,-201,-205,-59,-286,-315,-79,-22,16,-54
13-Nov,-148,-306,-183,-16,-125,6,-8,59,-49
14-Nov,-39,-337,-12,16,-36,34,3,44,56
15-Nov,-7,-140,0,87,-72,82,-13,-25,89
16-Nov,-8,-8,-14,-195,-68,82,-215,-219,39
17-Nov,-39,-15,-56,81,-97,-16,-174,-24,-85
18-Nov,-32,-170,-391,5,-83,-3,-312,2,-45
19-Nov,-87,-164,-416,19,-163,90,-71,-7,-19
20-Nov,-162,-23,-160,-44,-96,3,-167,-150,-33
21-Nov,-112,-360,-114,-11,-109,-9,-5,-452,12
22-Nov,-136,-194,-156,-3,-11,-79,-357,-63,99
23-Nov,-6,-19,-208,32,-11,-59,-36,5,1
24-Nov,-76,-163,-145,49,-71,-32,3,-281,-42
25-Nov,-350,-357,-72,-5,-8,-69,-6,-176,-176
26-Nov,-379,-51,9,-38,-93,-121,-76,-423,-69
27-Nov,-102,-135,7,-38,-79,-81,-130,-1,9
28-Nov,-19,-60,35,-37,82,3,-332,-9,-14
29-Nov,1,-138,-180,-80,10,4,-313,-56,-491
30-Nov,-17,-45,46,-287,-37,-26,-270,21,-65
1-Dec,16,-52,-38,-376,-5,91,-207,32,-9
2-Dec,-6,-4,-71,-336,-59,51,-55,42,-5
3-Dec,-42,39,21,-119,-69,-7,-206,28,-16
