
DOY, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
154, 17.000, 22.000, -17.000, 15.000, 55.000, 25.000, 21.000, 11.000, -18.000
155, 4.000, 11.000, -8.000, 18.000, 65.000, 34.000, 7.000, 31.000, 12.000
156, -75.000, 5.000, 36.000, 36.000, 43.000, 34.000, 52.000, 44.000, 3.000
157, -7.000, 1.000, 52.000, 56.000, 33.000, 10.000, 39.000, 75.000, 5.000
158, -34.000, -20.000, 86.000, 57.000, 24.000, 9.000, -92.000, 58.000, 17.000
159, -21.000, -12.000, 56.000, 125.000, 31.000, 1.000, -84.000, 13.000, 12.000
160, 8.000, -10.000, 36.000, 96.000, 38.000, 1.000, 6.000, 8.000, 19.000
161, 0.000, 31.000, -3.000, 79.000, 7.000, 26.000, 57.000, 15.000, 65.000
162, 8.000, 40.000, 13.000, 75.000, 6.000, -11.000, -3.000, 13.000, 15.000
163, -21.000, 70.000, 20.000, 59.000, 31.000, -51.000, -7.000, -13.000, 28.000
164, 10.000, 22.000, 9.000, 35.000, 64.000, -60.000, 51.000, 11.000, 96.000
165, 9.000, -46.000, 21.000, 25.000, 16.000, -4.000, 55.000, 21.000, 44.000
166, 61.000, -186.000, 1.000, 63.000, 33.000, 1.000, 2.000, 45.000, 48.000
167, 40.000, 19.000, 2.000, 53.000, 47.000, 52.000, -28.000, 18.000, 54.000
168, 26.000, -13.000, 6.000, 27.000, 25.000, 39.000, -25.000, 5.000, 21.000
169, 10.000, -17.000, 11.000, 15.000, 0.000, 37.000, 46.000, 38.000, 33.000
170, 3.000, 12.000, 12.000, 19.000, -30.000, 37.000, 42.000, 5.000, 35.000
171, 19.000, 76.000, 11.000, 34.000, 4.000, 39.000, 8.000, 1.000, 28.000
172, 30.000, 52.000, 31.000, 21.000, 3.000, 5.000, 3.000, 13.000, 7.000
173, 25.000, 37.000, 10.000, 7.000, 3.000, 12.000, 13.000, 44.000, 1.000
174, 16.000, 29.000, -1.000, 1.000, -4.000, 5.000, 16.000, 13.000, 1.000
175, 27.000, 6.000, 14.000, -6.000, 11.000, -2.000, 0.000, 11.000, 18.000
176, 14.000, 36.000, 21.000, 14.000, 18.000, 31.000, 2.000, 14.000, 26.000
